Labels	Em450-Sample-1-Group-A	
Type	Emission Scan	
Comment		
Start	460.00	
Stop	750.00	
Step	1.00	
Fixed/Offset	450.00	
Xaxis	Wavelength	
Yaxis	Counts	
Scan Corr. by File	True	
Corr. by Ref. Det.	True	
Fixed/Offset Corr. by File	False	
Repeats	2	
Dwell Time	0.50	
Lamp	Xenon	
Temp	68.150	
Scan Polariser	None	
Scan Slit	0.99998826	
Fixed/Offset Polariser	None	
Fixed/Offset Slit	0.25000927	
Detector	Visible PMT	

460.00	2.37010938E+3	
461.00	3.42085498E+3	
462.00	6.56668408E+3	
463.00	5.44040283E+3	
464.00	5.55656787E+3	
465.00	1.55472012E+4	
466.00	1.79059492E+4	
467.00	1.26584150E+4	
468.00	2.02246426E+4	
469.00	3.64552461E+4	
470.00	3.82767734E+4	
471.00	4.50063789E+4	
472.00	5.50516406E+4	
473.00	6.17605000E+4	
474.00	7.49134531E+4	
475.00	1.07287078E+5	
476.00	1.21211906E+5	
477.00	1.40339359E+5	
478.00	1.63266875E+5	
479.00	1.92782156E+5	
480.00	2.35098109E+5	
481.00	2.58269297E+5	
482.00	3.28162125E+5	
483.00	3.77593375E+5	
484.00	4.44673750E+5	
485.00	5.10747813E+5	
486.00	5.87046000E+5	
487.00	6.76880500E+5	
488.00	7.68038000E+5	
489.00	9.18373313E+5	
490.00	1.05248988E+6	
491.00	1.20138950E+6	
492.00	1.38722863E+6	
493.00	1.59410975E+6	
494.00	1.74941000E+6	
495.00	1.98894538E+6	
496.00	2.26060400E+6	
497.00	2.55014650E+6	
498.00	2.77683650E+6	
499.00	3.12427525E+6	
500.00	3.45637000E+6	
501.00	3.88228600E+6	
502.00	4.20525300E+6	
503.00	4.70222050E+6	
504.00	5.14837500E+6	
505.00	5.66218700E+6	
506.00	6.17969100E+6	
507.00	6.72680700E+6	
508.00	7.35926550E+6	
509.00	7.96679950E+6	
510.00	8.57317100E+6	
511.00	9.28089000E+6	
512.00	9.81284800E+6	
513.00	1.05009670E+7	
514.00	1.11652590E+7	
515.00	1.19816980E+7	
516.00	1.24572320E+7	
517.00	1.33027830E+7	
518.00	1.40446020E+7	
519.00	1.48638660E+7	
520.00	1.53376010E+7	
521.00	1.60609840E+7	
522.00	1.67949520E+7	
523.00	1.73090680E+7	
524.00	1.80055520E+7	
525.00	1.85063220E+7	
526.00	1.91332600E+7	
527.00	1.95618840E+7	
528.00	2.00329860E+7	
529.00	2.03732720E+7	
530.00	2.07652440E+7	
531.00	2.12646560E+7	
532.00	2.14980520E+7	
533.00	2.18441880E+7	
534.00	2.20818120E+7	
535.00	2.24291100E+7	
536.00	2.27192440E+7	
537.00	2.28594600E+7	
538.00	2.30760680E+7	
539.00	2.33557160E+7	
540.00	2.34727380E+7	
541.00	2.33585020E+7	
542.00	2.35362520E+7	
543.00	2.40515120E+7	
544.00	2.39055960E+7	
545.00	2.38360620E+7	
546.00	2.39078720E+7	
547.00	2.39831920E+7	
548.00	2.42827720E+7	
549.00	2.43067780E+7	
550.00	2.44894100E+7	
551.00	2.42335360E+7	
552.00	2.44997560E+7	
553.00	2.43440700E+7	
554.00	2.44960600E+7	
555.00	2.41260180E+7	
556.00	2.43524260E+7	
557.00	2.41484240E+7	
558.00	2.42020280E+7	
559.00	2.40716800E+7	
560.00	2.40785080E+7	
561.00	2.40789960E+7	
562.00	2.40645480E+7	
563.00	2.39281640E+7	
564.00	2.39242720E+7	
565.00	2.37224440E+7	
566.00	2.38838200E+7	
567.00	2.39594880E+7	
568.00	2.35521640E+7	
569.00	2.33432240E+7	
570.00	2.36980640E+7	
571.00	2.35751080E+7	
572.00	2.35716920E+7	
573.00	2.32818940E+7	
574.00	2.34563900E+7	
575.00	2.33481760E+7	
576.00	2.32152040E+7	
577.00	2.31715600E+7	
578.00	2.28200440E+7	
579.00	2.28116480E+7	
580.00	2.25731700E+7	
581.00	2.25933280E+7	
582.00	2.27713740E+7	
583.00	2.27676240E+7	
584.00	2.25210480E+7	
585.00	2.24532720E+7	
586.00	2.22495680E+7	
587.00	2.22652280E+7	
588.00	2.17491700E+7	
589.00	2.17998560E+7	
590.00	2.16236800E+7	
591.00	2.15808500E+7	
592.00	2.11503520E+7	
593.00	2.12169160E+7	
594.00	2.06948900E+7	
595.00	2.05966760E+7	
596.00	2.02140640E+7	
597.00	1.98638060E+7	
598.00	1.98259000E+7	
599.00	1.94757180E+7	
600.00	1.93856680E+7	
601.00	1.93050160E+7	
602.00	1.88825800E+7	
603.00	1.87156320E+7	
604.00	1.88736860E+7	
605.00	1.84696400E+7	
606.00	1.80801040E+7	
607.00	1.79557800E+7	
608.00	1.77915480E+7	
609.00	1.75487920E+7	
610.00	1.71703840E+7	
611.00	1.69363820E+7	
612.00	1.63870230E+7	
613.00	1.60030370E+7	
614.00	1.60834730E+7	
615.00	1.58527250E+7	
616.00	1.54584560E+7	
617.00	1.51162740E+7	
618.00	1.50124580E+7	
619.00	1.45601380E+7	
620.00	1.41732190E+7	
621.00	1.37938060E+7	
622.00	1.36634010E+7	
623.00	1.32859960E+7	
624.00	1.33888300E+7	
625.00	1.29115410E+7	
626.00	1.27325340E+7	
627.00	1.25178840E+7	
628.00	1.22509320E+7	
629.00	1.20184070E+7	
630.00	1.16409090E+7	
631.00	1.16269740E+7	
632.00	1.13205250E+7	
633.00	1.10040790E+7	
634.00	1.08469260E+7	
635.00	1.06986560E+7	
636.00	1.05845000E+7	
637.00	1.01692080E+7	
638.00	1.00201110E+7	
639.00	9.73991000E+6	
640.00	9.58402400E+6	
641.00	9.26783600E+6	
642.00	9.21761400E+6	
643.00	9.06170600E+6	
644.00	8.91348100E+6	
645.00	8.43931800E+6	
646.00	8.32874250E+6	
647.00	8.46905400E+6	
648.00	8.19314800E+6	
649.00	7.87284700E+6	
650.00	7.51216500E+6	
651.00	7.61185650E+6	
652.00	7.34280200E+6	
653.00	7.16843600E+6	
654.00	7.09974350E+6	
655.00	6.74506500E+6	
656.00	6.68838200E+6	
657.00	6.37676750E+6	
658.00	6.42811750E+6	
659.00	6.19345100E+6	
660.00	5.82583500E+6	
661.00	6.11374100E+6	
662.00	5.81707450E+6	
663.00	5.67907000E+6	
664.00	5.64490450E+6	
665.00	5.57225450E+6	
666.00	5.18044950E+6	
667.00	5.20750750E+6	
668.00	5.02025650E+6	
669.00	4.99839000E+6	
670.00	4.77217250E+6	
671.00	4.73656100E+6	
672.00	4.61250000E+6	
673.00	4.43859000E+6	
674.00	4.46040100E+6	
675.00	4.03694525E+6	
676.00	4.16919550E+6	
677.00	3.94563950E+6	
678.00	3.76252225E+6	
679.00	3.88334000E+6	
680.00	3.82379500E+6	
681.00	3.71806250E+6	
682.00	3.49675100E+6	
683.00	3.44679325E+6	
684.00	3.49264300E+6	
685.00	3.24828875E+6	
686.00	3.16565300E+6	
687.00	3.20634750E+6	
688.00	3.35501000E+6	
689.00	3.32819675E+6	
690.00	3.15272275E+6	
691.00	2.95171925E+6	
692.00	2.96365350E+6	
693.00	2.67801650E+6	
694.00	2.68500375E+6	
695.00	2.55632150E+6	
696.00	2.52608825E+6	
697.00	2.47274950E+6	
698.00	2.43745450E+6	
699.00	2.27931450E+6	
700.00	2.24640550E+6	
701.00	2.26525900E+6	
702.00	2.35407800E+6	
703.00	2.23180650E+6	
704.00	2.13723700E+6	
705.00	2.30171125E+6	
706.00	2.04347025E+6	
707.00	2.24739750E+6	
708.00	2.19746250E+6	
709.00	2.13462150E+6	
710.00	1.85051675E+6	
711.00	1.83465125E+6	
712.00	1.63007325E+6	
713.00	1.88861475E+6	
714.00	1.48849350E+6	
715.00	1.67141175E+6	
716.00	1.61143500E+6	
717.00	1.46369925E+6	
718.00	1.50207050E+6	
719.00	1.15251288E+6	
720.00	1.35339238E+6	
721.00	1.37123650E+6	
722.00	1.34260013E+6	
723.00	1.12752100E+6	
724.00	1.27378075E+6	
725.00	1.22604900E+6	
726.00	1.27590450E+6	
727.00	1.01599031E+6	
728.00	1.11574900E+6	
729.00	9.08696000E+5	
730.00	1.16644663E+6	
731.00	9.39238750E+5	
732.00	8.58898188E+5	
733.00	9.10975813E+5	
734.00	8.72501125E+5	
735.00	8.53347938E+5	
736.00	9.44119625E+5	
737.00	7.76435500E+5	
738.00	8.10000500E+5	
739.00	6.64120250E+5	
740.00	7.03643125E+5	
741.00	8.59063375E+5	
742.00	8.04299750E+5	
743.00	7.69193875E+5	
744.00	7.11309875E+5	
745.00	6.29910875E+5	
746.00	6.20136063E+5	
747.00	4.88696250E+5	
748.00	6.08342438E+5	
749.00	6.22249000E+5	
750.00	6.36387500E+5	
