Labels	Ex540-Sample-3-Group-A	
Type	Excitation Scan	
Comment		
Start	280.00	
Stop	530.00	
Step	1.00	
Fixed/Offset	540.00	
Xaxis	Wavelength	
Yaxis	Counts	
Scan Corr. by File	False	
Corr. by Ref. Det.	True	
Fixed/Offset Corr. by File	True	
Repeats	2	
Dwell Time	0.50	
Lamp	Xenon	
Temp	68.150	
Scan Polariser	None	
Scan Slit	1.00	
Fixed/Offset Polariser	None	
Fixed/Offset Slit	0.200	
Detector	Visible PMT	

280.00	6.78327637E+3	
281.00	1.16263828E+4	
282.00	8.58541406E+3	
283.00	9.57538770E+3	
284.00	6.65415527E+3	
285.00	7.66521729E+3	
286.00	1.40230449E+4	
287.00	1.25575176E+4	
288.00	1.00899385E+4	
289.00	8.03483691E+3	
290.00	7.23574609E+3	
291.00	7.87226514E+3	
292.00	6.97452930E+3	
293.00	6.82952246E+3	
294.00	8.49809961E+3	
295.00	6.95798340E+3	
296.00	6.35238428E+3	
297.00	4.66270020E+3	
298.00	6.60024121E+3	
299.00	8.06394727E+3	
300.00	5.19061816E+3	
301.00	5.20506641E+3	
302.00	4.40140723E+3	
303.00	6.84217773E+3	
304.00	5.76801660E+3	
305.00	6.23710547E+3	
306.00	3.56497363E+3	
307.00	4.05865381E+3	
308.00	4.62501270E+3	
309.00	5.25780908E+3	
310.00	5.27989697E+3	
311.00	5.44076855E+3	
312.00	3.65940405E+3	
313.00	4.76056689E+3	
314.00	5.76514453E+3	
315.00	6.11843652E+3	
316.00	6.09393066E+3	
317.00	5.70933887E+3	
318.00	8.50003125E+3	
319.00	7.62970264E+3	
320.00	9.73970215E+3	
321.00	9.21413965E+3	
322.00	1.21568965E+4	
323.00	1.25894795E+4	
324.00	1.49832969E+4	
325.00	1.75661035E+4	
326.00	2.52803027E+4	
327.00	2.92350410E+4	
328.00	2.63839355E+4	
329.00	3.37331328E+4	
330.00	4.05498359E+4	
331.00	4.57675547E+4	
332.00	5.26937344E+4	
333.00	5.73425391E+4	
334.00	5.79679844E+4	
335.00	6.79560625E+4	
336.00	7.19105000E+4	
337.00	7.95523438E+4	
338.00	8.57476641E+4	
339.00	9.14574375E+4	
340.00	9.50012188E+4	
341.00	1.00273094E+5	
342.00	9.99498906E+4	
343.00	1.04163672E+5	
344.00	1.03191078E+5	
345.00	1.08123555E+5	
346.00	9.61359375E+4	
347.00	1.00901563E+5	
348.00	9.49575703E+4	
349.00	8.66305313E+4	
350.00	8.51508125E+4	
351.00	8.10428516E+4	
352.00	7.31967109E+4	
353.00	6.29289141E+4	
354.00	6.01669375E+4	
355.00	4.81130703E+4	
356.00	4.46738672E+4	
357.00	3.62726680E+4	
358.00	3.14651621E+4	
359.00	2.43644102E+4	
360.00	1.95448945E+4	
361.00	1.60729922E+4	
362.00	1.31605557E+4	
363.00	8.33863867E+3	
364.00	8.62552344E+3	
365.00	6.54051172E+3	
366.00	5.47561816E+3	
367.00	4.27514063E+3	
368.00	2.91642969E+3	
369.00	3.56301709E+3	
370.00	2.77971436E+3	
371.00	2.37888135E+3	
372.00	1.75994043E+3	
373.00	1.88298083E+3	
374.00	2.16174854E+3	
375.00	1.19433057E+3	
376.00	1.52765527E+3	
377.00	2.05847705E+3	
378.00	8.00257690E+2	
379.00	1.35977710E+3	
380.00	1.30968201E+3	
381.00	1.14498779E+3	
382.00	1.03020752E+3	
383.00	1.59673706E+3	
384.00	1.43463550E+3	
385.00	1.78595105E+3	
386.00	1.76292737E+3	
387.00	2.74146948E+3	
388.00	2.45322314E+3	
389.00	2.86093896E+3	
390.00	2.74605225E+3	
391.00	3.97409668E+3	
392.00	5.35308887E+3	
393.00	6.75651025E+3	
394.00	8.23039258E+3	
395.00	1.05827090E+4	
396.00	1.35978447E+4	
397.00	1.93370996E+4	
398.00	2.62539141E+4	
399.00	3.37905469E+4	
400.00	4.38129141E+4	
401.00	5.82119805E+4	
402.00	7.57808750E+4	
403.00	9.22125156E+4	
404.00	1.20485250E+5	
405.00	1.47711094E+5	
406.00	1.77062859E+5	
407.00	2.15559469E+5	
408.00	2.52062594E+5	
409.00	3.03207781E+5	
410.00	3.38012688E+5	
411.00	3.87650000E+5	
412.00	4.35010406E+5	
413.00	4.82519250E+5	
414.00	5.31048375E+5	
415.00	5.71849625E+5	
416.00	6.24160375E+5	
417.00	6.67734688E+5	
418.00	7.02056688E+5	
419.00	7.58353125E+5	
420.00	7.90005500E+5	
421.00	8.32591563E+5	
422.00	8.53917000E+5	
423.00	8.96071500E+5	
424.00	9.28130250E+5	
425.00	9.42242750E+5	
426.00	9.90883750E+5	
427.00	1.00903550E+6	
428.00	1.03023006E+6	
429.00	1.04238263E+6	
430.00	1.07580575E+6	
431.00	1.08113313E+6	
432.00	1.09815500E+6	
433.00	1.11378613E+6	
434.00	1.13134538E+6	
435.00	1.14296025E+6	
436.00	1.16758975E+6	
437.00	1.17993763E+6	
438.00	1.18681738E+6	
439.00	1.20397575E+6	
440.00	1.20909425E+6	
441.00	1.21529025E+6	
442.00	1.20805150E+6	
443.00	1.22741938E+6	
444.00	1.22114463E+6	
445.00	1.22880738E+6	
446.00	1.22797675E+6	
447.00	1.23262450E+6	
448.00	1.23313800E+6	
449.00	1.22653213E+6	
450.00	1.22674788E+6	
451.00	1.23110975E+6	
452.00	1.23007363E+6	
453.00	1.23033850E+6	
454.00	1.21435100E+6	
455.00	1.22147150E+6	
456.00	1.21782775E+6	
457.00	1.20809400E+6	
458.00	1.20801600E+6	
459.00	1.19913288E+6	
460.00	1.18841088E+6	
461.00	1.18192075E+6	
462.00	1.18836275E+6	
463.00	1.17160188E+6	
464.00	1.17065450E+6	
465.00	1.15146325E+6	
466.00	1.13978850E+6	
467.00	1.13100675E+6	
468.00	1.12761375E+6	
469.00	1.12001688E+6	
470.00	1.09851513E+6	
471.00	1.08538800E+6	
472.00	1.06441800E+6	
473.00	1.04691200E+6	
474.00	1.03926475E+6	
475.00	1.02915338E+6	
476.00	1.00708938E+6	
477.00	9.97051250E+5	
478.00	9.73536438E+5	
479.00	9.36264813E+5	
480.00	9.28380375E+5	
481.00	9.00396875E+5	
482.00	8.87684375E+5	
483.00	8.63158875E+5	
