Labels	Em550-Sample-1-Group-A	
Type	Excitation Scan	
Comment		
Start	280.00	
Stop	530.00	
Step	1.00	
Fixed/Offset	550.00	
Xaxis	Wavelength	
Yaxis	Counts	
Scan Corr. by File	False	
Corr. by Ref. Det.	True	
Fixed/Offset Corr. by File	True	
Repeats	2	
Dwell Time	0.50	
Lamp	Xenon	
Temp	68.150	
Scan Polariser	None	
Scan Slit	0.99998826	
Fixed/Offset Polariser	None	
Fixed/Offset Slit	0.19999765	
Detector	Visible PMT	

280.00	9.19854297E+3	
281.00	5.13796777E+3	
282.00	7.61271680E+3	
283.00	5.88522559E+3	
284.00	6.72224902E+3	
285.00	5.69515527E+3	
286.00	7.50267725E+3	
287.00	5.08347266E+3	
288.00	9.22092578E+3	
289.00	5.51586768E+3	
290.00	3.63070142E+3	
291.00	4.37599072E+3	
292.00	4.46965332E+3	
293.00	4.32699316E+3	
294.00	3.07051123E+3	
295.00	3.50516504E+3	
296.00	5.59821680E+3	
297.00	2.51625562E+3	
298.00	4.56474463E+3	
299.00	3.65796143E+3	
300.00	4.13854150E+3	
301.00	3.95474268E+3	
302.00	2.48515405E+3	
303.00	2.23196973E+3	
304.00	1.98064966E+3	
305.00	1.84649365E+3	
306.00	1.92714783E+3	
307.00	3.99086426E+3	
308.00	2.15764258E+3	
309.00	4.05392529E+3	
310.00	3.41852295E+3	
311.00	1.69232458E+3	
312.00	4.11953271E+3	
313.00	4.99100879E+3	
314.00	3.26850342E+3	
315.00	4.37568848E+3	
316.00	6.61697266E+3	
317.00	8.27418555E+3	
318.00	1.12188643E+4	
319.00	1.16349395E+4	
320.00	1.21002939E+4	
321.00	1.68166719E+4	
322.00	2.08574785E+4	
323.00	2.55378711E+4	
324.00	2.85237227E+4	
325.00	3.69377578E+4	
326.00	3.93852461E+4	
327.00	5.19115352E+4	
328.00	5.02399297E+4	
329.00	5.90758281E+4	
330.00	6.66967500E+4	
331.00	7.30430078E+4	
332.00	8.07259141E+4	
333.00	8.88814141E+4	
334.00	9.23105156E+4	
335.00	1.00000656E+5	
336.00	1.07779961E+5	
337.00	1.07787125E+5	
338.00	1.12584000E+5	
339.00	1.17821414E+5	
340.00	1.20282781E+5	
341.00	1.21395172E+5	
342.00	1.19986563E+5	
343.00	1.17374375E+5	
344.00	1.14305422E+5	
345.00	1.11457172E+5	
346.00	1.03087227E+5	
347.00	9.96441094E+4	
348.00	8.87530781E+4	
349.00	9.03886719E+4	
350.00	8.12985938E+4	
351.00	7.12585000E+4	
352.00	6.14394531E+4	
353.00	5.37618516E+4	
354.00	4.19170938E+4	
355.00	3.85716406E+4	
356.00	3.09370352E+4	
357.00	2.44746367E+4	
358.00	2.08284141E+4	
359.00	1.34352891E+4	
360.00	9.96593750E+3	
361.00	7.60957275E+3	
362.00	5.10992480E+3	
363.00	3.85211572E+3	
364.00	2.75041162E+3	
365.00	2.21663574E+3	
366.00	1.86096289E+3	
367.00	1.87373804E+3	
368.00	1.45869275E+3	
369.00	7.19342957E+2	
370.00	1.04909204E+3	
371.00	4.69081482E+2	
372.00	6.68713196E+2	
373.00	8.32975342E+2	
374.00	3.32301910E+2	
375.00	1.00640869E+2	
376.00	6.50090714E+1	
377.00	-3.10064850E+1	
378.00	1.89654816E+2	
379.00	1.24555634E+2	
380.00	7.33212830E+2	
381.00	4.80454346E+2	
382.00	1.07177954E+3	
383.00	5.38588318E+2	
384.00	4.18161316E+2	
385.00	9.83552979E+2	
386.00	1.48683911E+3	
387.00	1.86246350E+3	
388.00	2.40629248E+3	
389.00	3.40408154E+3	
390.00	3.77173730E+3	
391.00	7.23057617E+3	
392.00	8.46386328E+3	
393.00	1.23363477E+4	
394.00	1.75442090E+4	
395.00	2.35337988E+4	
396.00	3.08711230E+4	
397.00	3.99601211E+4	
398.00	5.36656875E+4	
399.00	6.93130781E+4	
400.00	8.81138906E+4	
401.00	1.13345281E+5	
402.00	1.33158938E+5	
403.00	1.63749094E+5	
404.00	1.99765703E+5	
405.00	2.38874422E+5	
406.00	2.78120000E+5	
407.00	3.14336063E+5	
408.00	3.52870719E+5	
409.00	3.95896219E+5	
410.00	4.29758156E+5	
411.00	4.70085500E+5	
412.00	5.16745594E+5	
413.00	5.48576250E+5	
414.00	5.79817375E+5	
415.00	6.06288500E+5	
416.00	6.37244000E+5	
417.00	6.81286813E+5	
418.00	6.91101375E+5	
419.00	7.24205625E+5	
420.00	7.36627250E+5	
421.00	7.53004563E+5	
422.00	7.80116250E+5	
423.00	7.91081625E+5	
424.00	8.05919750E+5	
425.00	8.16988125E+5	
426.00	8.32220125E+5	
427.00	8.47115563E+5	
428.00	8.45935875E+5	
429.00	8.53366375E+5	
430.00	8.61242813E+5	
431.00	8.75791750E+5	
432.00	8.72287000E+5	
433.00	8.85196000E+5	
434.00	8.91961375E+5	
435.00	8.96422125E+5	
436.00	8.95792375E+5	
437.00	8.97011125E+5	
438.00	9.08439625E+5	
439.00	9.07604750E+5	
440.00	9.11712688E+5	
441.00	9.03018375E+5	
442.00	9.14927250E+5	
443.00	9.15426000E+5	
444.00	9.16307750E+5	
445.00	9.20621500E+5	
446.00	9.16051313E+5	
447.00	9.02864563E+5	
448.00	9.17086938E+5	
449.00	9.14060750E+5	
450.00	9.13907375E+5	
451.00	9.15084875E+5	
452.00	9.10903688E+5	
453.00	9.15919250E+5	
454.00	9.09438250E+5	
455.00	9.15814625E+5	
456.00	9.08013125E+5	
457.00	9.01580875E+5	
458.00	9.04202375E+5	
459.00	8.99021500E+5	
460.00	8.97778438E+5	
461.00	8.98974188E+5	
462.00	9.02326500E+5	
463.00	9.03927375E+5	
464.00	9.02419563E+5	
465.00	9.04345500E+5	
466.00	9.01999625E+5	
467.00	8.98342125E+5	
468.00	8.97056375E+5	
469.00	9.00840563E+5	
470.00	8.94699563E+5	
471.00	8.87500000E+5	
472.00	8.91984625E+5	
473.00	8.81493500E+5	
474.00	8.88521625E+5	
475.00	8.80951875E+5	
476.00	8.82146250E+5	
477.00	8.79667438E+5	
478.00	8.77338250E+5	
479.00	8.76200000E+5	
480.00	8.61340375E+5	
481.00	8.74364500E+5	
482.00	8.54506125E+5	
483.00	8.59325750E+5	
