Labels	Ex521-Sample-5-Group-A	
Type	Excitation Scan	
Comment		
Start	210.00	
Stop	510.00	
Step	1.00	
Fixed/Offset	521.00	
Xaxis	Wavelength	
Yaxis	Counts	
Scan Corr. by File	False	
Corr. by Ref. Det.	True	
Fixed/Offset Corr. by File	True	
Repeats	2	
Dwell Time	0.50	
Lamp	Xenon	
Temp	68.150	
Scan Polariser	None	
Scan Slit	0.99998826	
Fixed/Offset Polariser	None	
Fixed/Offset Slit	0.19999765	
Detector	Visible PMT	

210.00	1.42229313E+5	
211.00	-8.50170250E+5	
212.00	3.76299063E+5	
213.00	5.61969188E+5	
214.00	1.49170463E+6	
215.00	1.58327325E+6	
216.00	3.23233594E+5	
217.00	7.85907500E+5	
218.00	3.54562625E+5	
219.00	6.42278875E+5	
220.00	-4.75288359E+4	
221.00	-3.95527852E+4	
222.00	2.94905875E+5	
223.00	1.54233125E+5	
224.00	6.32512148E+4	
225.00	1.49557188E+5	
226.00	2.38457219E+5	
227.00	6.45993945E+4	
228.00	1.70586969E+5	
229.00	1.25360227E+5	
230.00	1.91824703E+5	
231.00	1.29421953E+5	
232.00	1.06603078E+5	
233.00	1.07040797E+5	
234.00	1.05556188E+5	
235.00	1.36453438E+5	
236.00	9.78427656E+4	
237.00	1.01032828E+5	
238.00	8.72517656E+4	
239.00	7.71894531E+4	
240.00	8.29461406E+4	
241.00	5.63339297E+4	
242.00	5.39277305E+4	
243.00	5.70984180E+4	
244.00	4.39623945E+4	
245.00	4.27373984E+4	
246.00	5.33645234E+4	
247.00	5.21931719E+4	
248.00	6.45352734E+4	
249.00	3.76361250E+4	
250.00	2.56774414E+4	
251.00	3.14410449E+4	
252.00	3.71798164E+4	
253.00	3.78311445E+4	
254.00	2.95171152E+4	
255.00	2.39521504E+4	
256.00	2.26823848E+4	
257.00	3.49398594E+4	
258.00	3.37948750E+4	
259.00	2.67467344E+4	
260.00	2.23594668E+4	
261.00	2.16634375E+4	
262.00	2.57633027E+4	
263.00	2.38564277E+4	
264.00	2.94029746E+4	
265.00	2.87146719E+4	
266.00	2.96767480E+4	
267.00	2.17204219E+4	
268.00	2.49299063E+4	
269.00	2.88032832E+4	
270.00	1.60902637E+4	
271.00	2.13160195E+4	
272.00	2.24882344E+4	
273.00	1.88989844E+4	
274.00	1.74439746E+4	
275.00	1.75731250E+4	
276.00	2.16092227E+4	
277.00	1.99456250E+4	
278.00	1.85502695E+4	
279.00	1.76201719E+4	
280.00	1.40408857E+4	
281.00	1.75391348E+4	
282.00	1.78141211E+4	
283.00	1.40051240E+4	
284.00	1.47832227E+4	
285.00	1.17254727E+4	
286.00	1.42668389E+4	
287.00	1.49956406E+4	
288.00	1.67347734E+4	
289.00	1.32203398E+4	
290.00	1.67909121E+4	
291.00	1.43367881E+4	
292.00	1.33137109E+4	
293.00	1.11890762E+4	
294.00	1.26585615E+4	
295.00	1.02650723E+4	
296.00	9.83304297E+3	
297.00	1.51043105E+4	
298.00	9.11997852E+3	
299.00	1.14513545E+4	
300.00	8.57916504E+3	
301.00	8.23757422E+3	
302.00	6.42366016E+3	
303.00	6.95136865E+3	
304.00	8.29535059E+3	
305.00	5.68367627E+3	
306.00	8.26447656E+3	
307.00	6.52204102E+3	
308.00	5.82341406E+3	
309.00	5.04834570E+3	
310.00	7.79495898E+3	
311.00	8.60083594E+3	
312.00	7.58255127E+3	
313.00	6.95352002E+3	
314.00	6.14361816E+3	
315.00	7.92200488E+3	
316.00	8.52615820E+3	
317.00	1.15700830E+4	
318.00	1.41166699E+4	
319.00	1.65570703E+4	
320.00	1.95559238E+4	
321.00	2.47296211E+4	
322.00	3.29226055E+4	
323.00	4.04008203E+4	
324.00	4.80340625E+4	
325.00	6.03312656E+4	
326.00	7.42170938E+4	
327.00	8.78750859E+4	
328.00	1.12377578E+5	
329.00	1.32102625E+5	
330.00	1.60761250E+5	
331.00	1.90282313E+5	
332.00	2.22550172E+5	
333.00	2.57314688E+5	
334.00	2.88879000E+5	
335.00	3.27265188E+5	
336.00	3.68697813E+5	
337.00	4.04040438E+5	
338.00	4.52608375E+5	
339.00	4.76310875E+5	
340.00	5.21122344E+5	
341.00	5.48298063E+5	
342.00	5.68781500E+5	
343.00	6.11294125E+5	
344.00	6.27313875E+5	
345.00	6.48353563E+5	
346.00	6.67504875E+5	
347.00	6.79758875E+5	
348.00	6.89041625E+5	
349.00	6.93658625E+5	
350.00	6.95271563E+5	
351.00	6.85193375E+5	
352.00	6.80175125E+5	
353.00	6.58051125E+5	
354.00	6.38772563E+5	
355.00	6.20034375E+5	
356.00	5.85706438E+5	
357.00	5.68051813E+5	
358.00	5.22515000E+5	
359.00	4.92064250E+5	
360.00	4.34953969E+5	
361.00	3.95616844E+5	
362.00	3.59130625E+5	
363.00	3.20023125E+5	
364.00	2.77147500E+5	
365.00	2.34692078E+5	
366.00	2.02203656E+5	
367.00	1.71759375E+5	
368.00	1.41938156E+5	
369.00	1.11401016E+5	
370.00	9.19194688E+4	
371.00	7.54662734E+4	
372.00	5.94682266E+4	
373.00	4.46186172E+4	
374.00	3.53239141E+4	
375.00	2.67515215E+4	
376.00	2.15025469E+4	
377.00	1.55523994E+4	
378.00	1.18240635E+4	
379.00	1.10693691E+4	
380.00	9.22926172E+3	
381.00	8.16472461E+3	
382.00	7.28761572E+3	
383.00	7.98508105E+3	
384.00	7.64319043E+3	
385.00	1.01424980E+4	
386.00	1.31409199E+4	
387.00	1.47546621E+4	
388.00	1.87933125E+4	
389.00	2.42088242E+4	
390.00	2.91145742E+4	
391.00	3.62608203E+4	
392.00	4.36564336E+4	
393.00	5.59107500E+4	
394.00	6.74743438E+4	
395.00	8.12444688E+4	
396.00	1.01100172E+5	
397.00	1.21480469E+5	
398.00	1.45225281E+5	
399.00	1.73026563E+5	
400.00	2.06651484E+5	
401.00	2.44117500E+5	
402.00	2.76306875E+5	
403.00	3.21492000E+5	
404.00	3.63941750E+5	
405.00	4.14544188E+5	
406.00	4.65722438E+5	
407.00	5.16175469E+5	
408.00	5.74072500E+5	
409.00	6.21848938E+5	
410.00	6.79155500E+5	
411.00	7.24950250E+5	
412.00	7.85041313E+5	
413.00	8.23664250E+5	
